name,avg_price,recommended_dishes
Tapa Tapa(大学路店),￥166,传统西班牙海鲜铁盘饭、招牌鸭肝牛菲力、招牌蒜香油浸大虾
姜胖胖首尔自助烤肉•街头小吃大排档(五角场万达店),￥87,活烤鳗鱼、韩式炸鸡、芝士玉米
明洞阿姨·韩式酱蟹·烤肉大排档(巴黎春天五角场店),￥100,韩式酱油蟹、明姨秘制牛五花、韩式辣酱蟹
鮨·朝和 Omakase,￥547,蓝鳍金枪鱼大腹、海胆饭、大竹荚寿司
九牛王潮汕牛肉火锅(四平路店),￥87,牛骨原汤锅、吊龙、匙炳
七婆串串香,￥92,
江边城外烤全鱼(合生汇店),￥109,江边怪味烤鱼、口水鸡、大碗水果冰粉
阿萨中东料理·清真(上海五角场店),￥130,阿拉伯经典烤羊排、阿拉伯皮塔饼、土耳其炭烤鸡腿肉
The 72 Restaurant & café 中餐·日料(五角场店),￥121,黑蒜安格斯牛肉、脆皮炸乳鸽、雪花牛小排
北步园火锅(大学路店),￥119,双黄蛋嫩肉片、鸭血、传统手工冰汤圆
很久以前羊肉串(五角场万达店),￥97,呼伦贝尔羊肉串、还是呼伦贝尔羊肉串、烤酸菜
Art Dune沙丘,￥137,二十四小时牛肋排、戈壁火焰凉拌沙葱、大漠余灰 · 烧椒茄泥
蔡澜点心·粤菜(百联又一城店),￥88,酥皮山楂叉烧包、山楂汁、蔡澜鲜虾红米肠
哥哥の深夜食堂(五角场万达店),￥108,鹅肝寿司、烤牛舌、三文鱼刺身
江小怡·地道南昌菜(大学路店),￥86,销魂鸡爪、三色茄子、南昌拌粉
怂火锅厂(百联又一城店),￥113,头牌鲜切牛肉、鲜味鸭血、一口Q弹虎虾滑
极蜀道川渝火锅通宵营业,￥91,阿坝州牦牛吊龙、鲜切阿坝州羊肉、千丝鸭肠
AYO PARK喝酒公园(大学路店),￥103,闪电薯条、麻辣暴力牛肉条、奇异果森林
